iteration,id,vl,vr,px,py
1,0,0.000000,0.000000,-1.181740,-0.862697
1,1,0.000000,0.000000,1.044910,-0.994588
1,2,0.000000,0.000000,0.531247,1.233080
1,3,0.000000,0.000000,-0.919392,-0.096664
1,4,0.000000,0.000000,1.344860,1.636460
1,5,0.000000,0.000000,-0.540147,-0.209748
1,6,0.000000,0.000000,-1.854560,-0.377369
1,7,0.000000,0.000000,0.753079,0.664982
1,8,0.000000,0.000000,-0.037410,-0.356007
1,9,0.000000,0.000000,-1.299960,-0.312395
1,10,0.000000,0.000000,1.132930,1.005350
1,11,0.000000,0.000000,-0.580508,1.145160
1,12,0.000000,0.000000,0.263958,-0.019759
1,13,0.000000,0.000000,-1.657360,1.214610
1,14,0.000000,0.000000,0.055722,-1.742080
1,15,0.000000,0.000000,0.747499,-1.553690
1,16,0.000000,0.000000,-1.203800,-1.056060
1,17,0.000000,0.000000,1.780700,-1.014780
1,18,0.000000,0.000000,1.721830,0.315308
1,19,0.000000,0.000000,-1.323380,-0.839070
2,0,0.010000,0.300000,-1.183218,-0.851168
2,1,0.010000,0.300000,1.054682,-1.000651
2,2,0.010000,0.300000,0.537964,1.242415
2,3,0.010000,0.300000,-0.908079,-0.098730
2,4,0.010000,0.300000,1.341258,1.625539
2,5,0.010000,0.300000,-0.549832,-0.215948
2,6,0.010000,0.300000,-1.844948,-0.371055
2,7,0.010000,0.300000,0.751744,0.676404
2,8,0.010000,0.300000,-0.037244,-0.367506
2,9,0.010000,0.300000,-1.303388,-0.323372
2,10,0.010000,0.300000,1.142655,1.011488
2,11,0.010000,0.300000,-0.591998,1.144681
2,12,0.010000,0.300000,0.274878,-0.016151
2,13,0.010000,0.300000,-1.651515,1.204706
2,14,0.010000,0.300000,0.045433,-1.736942
2,15,0.010000,0.300000,0.756345,-1.546342
2,16,0.010000,0.300000,-1.211422,-1.047448
2,17,0.010000,0.300000,1.779056,-1.026162
2,18,0.010000,0.300000,1.710330,0.315215
2,19,0.010000,0.300000,-1.322038,-0.828128
3,0,0.010000,0.300000,-1.188649,-0.836829
3,1,0.010000,0.300000,1.069291,-1.005700
3,2,0.010000,0.300000,0.543999,1.256644
3,3,0.010000,0.300000,-0.892636,-0.098082
3,4,0.010000,0.300000,1.339776,1.610153
3,5,0.010000,0.300000,-0.560690,-0.226949
3,6,0.010000,0.300000,-1.834222,-0.359926
3,7,0.010000,0.300000,0.746605,0.690982
3,8,0.010000,0.300000,-0.033615,-0.382530
3,9,0.610000,0.590000,-1.307514,-0.355036
3,10,0.010000,0.300000,1.153583,1.022419
3,11,0.010000,0.300000,-0.606918,1.140646
3,12,0.010000,0.300000,0.288122,-0.008183
3,13,0.010000,0.300000,-1.640915,1.193457
3,14,0.010000,0.300000,0.030422,-1.733259
