iteration,population,w0,w1,w2,w3,segregation
1, 0,  0.8, 0.8, 0.1, 0.5 , 0.8162017712848659
2, 0,  0.79, 0.79, 0.09, 0.49 , 0.9633219697276695
2, 1,  0.79, 0.79, 0.09, 0.51 , 1.2514589119506694
2, 2,  0.79, 0.79, 0.09, 0.5 , 1.0501671941338264
2, 3,  0.79, 0.79, 0.11, 0.49 , 0.9653152385929394
2, 4,  0.79, 0.79, 0.11, 0.51 , 0.9986357636678695
2, 5,  0.79, 0.79, 0.11, 0.5 , 1.302515248796773
2, 6,  0.79, 0.79, 0.1, 0.49 , 1.1283150898911574
2, 7,  0.79, 0.79, 0.1, 0.51 , 0.8906856953455493
2, 8,  0.79, 0.79, 0.1, 0.5 , 0.9186125641126716
2, 9,  0.79, 0.81, 0.09, 0.49 , 1.110712604784535
2, 10,  0.79, 0.81, 0.09, 0.51 , 1.1514967869479857
2, 11,  0.79, 0.81, 0.09, 0.5 , 1.2142518225025105
2, 12,  0.79, 0.81, 0.11, 0.49 , 0.9343877484907811
2, 13,  0.79, 0.81, 0.11, 0.51 , 1.0461309450763827
2, 14,  0.79, 0.81, 0.11, 0.5 , 1.2291610855376733
2, 15,  0.79, 0.81, 0.1, 0.49 , 1.0405063909108987
2, 16,  0.79, 0.81, 0.1, 0.51 , 0.938529213646182
2, 17,  0.79, 0.81, 0.1, 0.5 , 1.1566187984952156
2, 18,  0.79, 0.8, 0.09, 0.49 , 1.1047835612428438
2, 19,  0.79, 0.8, 0.09, 0.51 , 0.870426770462795
2, 20,  0.79, 0.8, 0.09, 0.5 , 1.4467271894357154
2, 21,  0.79, 0.8, 0.11, 0.49 , 1.2673185476177615
2, 22,  0.79, 0.8, 0.11, 0.51 , 0.9957076443661249
2, 23,  0.79, 0.8, 0.11, 0.5 , 0.9286619024790433
2, 24,  0.79, 0.8, 0.1, 0.49 , 1.0338111838668325
2, 25,  0.79, 0.8, 0.1, 0.51 , 1.0797448429425225
2, 26,  0.79, 0.8, 0.1, 0.5 , 0.9064733254344389
2, 27,  0.81, 0.79, 0.09, 0.49 , 1.120338508790159
2, 28,  0.81, 0.79, 0.09, 0.51 , 1.3405256056690242
2, 29,  0.81, 0.79, 0.09, 0.5 , 1.5576827606600128
2, 30,  0.81, 0.79, 0.11, 0.49 , 1.26212099122453
2, 31,  0.81, 0.79, 0.11, 0.51 , 1.0289246340526272
2, 32,  0.81, 0.79, 0.11, 0.5 , 1.0522690920671476
2, 33,  0.81, 0.79, 0.1, 0.49 , 1.076737562889887
2, 34,  0.81, 0.79, 0.1, 0.51 , 1.1186768083486376
2, 35,  0.81, 0.79, 0.1, 0.5 , 1.2057523005808894
2, 36,  0.81, 0.81, 0.09, 0.49 , 1.5409392369374817
2, 37,  0.81, 0.81, 0.09, 0.51 , 1.0957691235720286
2, 38,  0.81, 0.81, 0.09, 0.5 , 1.0822092588397116
2, 39,  0.81, 0.81, 0.11, 0.49 , 0.9505078378647823
2, 40,  0.81, 0.81, 0.11, 0.51 , 1.0343197520174308
2, 41,  0.81, 0.81, 0.11, 0.5 , 1.2223299829779997
2, 42,  0.81, 0.81, 0.1, 0.49 , 1.150509732702349
2, 43,  0.81, 0.81, 0.1, 0.51 , 0.8071429213930558
2, 44,  0.81, 0.81, 0.1, 0.5 , 1.0285687175133522
2, 45,  0.81, 0.8, 0.09, 0.49 , 0.8245858123386514
2, 46,  0.81, 0.8, 0.09, 0.51 , 1.0249796936127262
2, 47,  0.81, 0.8, 0.09, 0.5 , 1.3370110610215815
2, 48,  0.81, 0.8, 0.11, 0.49 , 1.1091358698740417
2, 49,  0.81, 0.8, 0.11, 0.51 , 0.8911646866801118
2, 50,  0.81, 0.8, 0.11, 0.5 , 0.8447635580467941
2, 51,  0.81, 0.8, 0.1, 0.49 , 1.3619373570277433
2, 52,  0.81, 0.8, 0.1, 0.51 , 0.9807387162066353
2, 53,  0.81, 0.8, 0.1, 0.5 , 0.9752428226537797
2, 54,  0.8, 0.79, 0.09, 0.49 , 1.3912710317251018
2, 55,  0.8, 0.79, 0.09, 0.51 , 1.0467944294328326
2, 56,  0.8, 0.79, 0.09, 0.5 , 1.6095253938276244
2, 57,  0.8, 0.79, 0.11, 0.49 , 0.7823559452546577
2, 58,  0.8, 0.79, 0.11, 0.51 , 1.2717033080117068
